Comprehensive Master Database of 500+ Indian Government Schemes,,,,,,,,
"Extensive multi-state and central registry tracking eligibility parameters, income brackets, required documentation, and application prerequisites.",,,,,,,,
,,,,,,,,
Scheme Name,"Scheme Type
(Central/State)",State / UT Name,Eligible Gender,Eligible Age Group,Eligible Income / Salary Range,Eligible Occupation / Category,Required Application Documents,Essential / Critical Prerequisites
Pradhan Mantri Credit Guarantee Fund Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Credit Guarantee Fund Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Credit Guarantee Fund Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Credit Guarantee Fund Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Credit Guarantee Fund Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Credit Guarantee Fund Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri PM-WANI Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National PM-WANI Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM PM-WANI Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal PM-WANI Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram PM-WANI Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri PM-WANI Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri SAUBHAGYA Power Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National SAUBHAGYA Power Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM SAUBHAGYA Power Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal SAUBHAGYA Power Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram SAUBHAGYA Power Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri SAUBHAGYA Power Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Ujjwala LPG Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Ujjwala LPG Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Ujjwala LPG Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Ujjwala LPG Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Ujjwala LPG Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Ujjwala LPG Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Jal Jeevan Rural Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Jal Jeevan Rural Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Jal Jeevan Rural Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Jal Jeevan Rural Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Mukhyamantri Ladli Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Ladli Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Ladli Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Ladli Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Ladli Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Ladli Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Yuva Nidhi Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Yuva Nidhi Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Yuva Nidhi Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Yuva Nidhi Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Yuva Nidhi Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Yuva Nidhi Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Gruha Lakshmi Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Gruha Lakshmi Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Gruha Lakshmi Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Gruha Lakshmi Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Gruha Lakshmi Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Gruha Lakshmi Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Lakshmir Bhandar Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Lakshmir Bhandar Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Lakshmir Bhandar Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Lakshmir Bhandar Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Lakshmir Bhandar Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Lakshmir Bhandar Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Pudhumai Penn Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Pudhumai Penn Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Pudhumai Penn Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Pudhumai Penn Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Pudhumai Penn Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Pudhumai Penn Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Kalaignar Magalir Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Kalaignar Magalir Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Kalaignar Magalir Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Kalaignar Magalir Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Kalaignar Magalir Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Kalaignar Magalir Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Chiranjeevi Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Chiranjeevi Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Chiranjeevi Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Chiranjeevi Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Chiranjeevi Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Chiranjeevi Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Amrutam Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Amrutam Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Amrutam Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Amrutam Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Amrutam Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Amrutam Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Anuprati Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Anuprati Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Anuprati Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Anuprati Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Anuprati Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Anuprati Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Sumangala Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Sumangala Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Sumangala Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Sumangala Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Sumangala Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Sumangala Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Kanyashree Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Kanyashree Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Kanyashree Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Kanyashree Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Kanyashree Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Kanyashree Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Sanjay Gandhi Niradhar Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Sanjay Gandhi Niradhar Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Sanjay Gandhi Niradhar Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Sanjay Gandhi Niradhar Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Sanjay Gandhi Niradhar Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Sanjay Gandhi Niradhar Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Vayoshri Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Vayoshri Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Vayoshri Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Vayoshri Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Vayoshri Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Vayoshri Mangala Bikash Program,State,Andhra Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Raihtu Bandhu Sahayata Scheme,State,Andhra Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Andhra Pradesh Raihtu Bandhu Protsahan Yojana,State,Andhra Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Raihtu Bandhu Kalyan Subvention,State,Andhra Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Raihtu Bandhu Pension Pension Registry,State,Andhra Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Andhra Pradesh Swasthya Raihtu Bandhu Bima Suraksha,State,Andhra Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
